Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Goods Carrier,231,23751,1469,13552,19663,15694,614,1106,10611,1546,49419,7428,29243,12865,4925,46805,18858,394,12,81287,1670,1393,23343,1046,12577,20011,21988,474,40234,398,45522,2198,5279,51409,34171,601186
Harvester,0,191,0,0,3,261,0,0,0,0,17,0,445,0,0,14,0,0,0,92,0,0,320,0,0,12,2149,1,80,0,538,0,0,36,119,4278
Hearses,0,1,0,0,0,0,0,0,0,1,3,1,4,0,0,5,7,0,0,4,0,0,3,0,0,9,1,0,3,0,0,0,0,16,35,93
Library Van,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
Luxury Cab,0,273,0,0,0,0,0,0,70,0,0,0,0,0,2,2,0,0,0,2,0,0,0,4,0,8,0,0,2,213,0,0,0,1,4286,4863
M-Cycle/Scooter,5839,824613,8903,237491,698830,355976,26804,12358,451782,56970,1116638,69583,460979,348017,56451,1171212,656993,216,748,1814882,10747,17900,860569,10467,5213,475058,595872,53753,996855,520,1433896,30110,167576,2096497,788714,15919032
M-Cycle/Scooter-With Side Car,1,0,1,9,59,1,0,0,70,1,32,49,33,13,19,7309,0,0,0,92,8,2,0,0,5,71,4,2,5267,0,121,0,18,130,232,13549
Maxi Cab,43,1482,61,333,363,261,6,12,197,207,1759,299,268,663,1046,4454,126,158,0,225,188,97,1261,146,119,3193,2475,84,1479,233,8354,41,1775,2922,1963,36293
Mobile Canteen,0,2,3,1,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
Mobile Clinic,0,5,34,1,0,1,0,0,0,0,7,1,1,0,2,12,7,0,0,14,0,1,0,0,0,0,0,1,2,0,0,0,0,2,4,95
Mobile Workshop,0,1,0,6,0,1,0,0,2,1,6,1,1,0,1,3,0,0,0,13,0,0,1,0,0,0,1,0,0,0,7,0,0,3,2,50
Moped,654,0,322,2476,5873,26146,89,18,5200,49,53398,761,3531,10094,10865,69673,13,1,0,18337,7,1843,21855,226,75,61212,3082,3172,15144,3,151519,34,1736,85657,3078,556143
Motor Cab,179,3497,157,4591,4333,525,89,15,16555,983,3179,1472,12830,1339,253,38314,10380,183,1,40835,1370,20,2077,238,262,1929,3083,148,6486,938,12213,176,1708,8049,2464,180871
Motor Car,2188,66681,4900,51616,45225,30910,17442,4363,159253,17747,242395,40608,138025,42712,35867,206057,216766,1138,31,334025,7792,6642,92689,2143,5541,39865,116790,7799,144679,2814,192201,3929,37827,238262,68719,2625641
Motor Cycle/Scooter-SideCar(T),0,1,0,0,4,0,0,0,0,123,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,0,5,0,0,0,0,0,0,140
Motor Cycle/Scooter-Used For Hire,76,7,0,0,3,1,0,0,0,277,18,77,694,0,0,518,32,123,0,0,0,0,13,13,0,44,10,0,735,0,0,0,114,8,16,2779
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Motorised Cycle (CC 25cc),0,2,0,3,13,3,0,0,6,0,2,0,1,106,1,50,1,0,0,65,4,1,0,0,0,3,1,1,31,235,34,0,11,254,31,859
Omni Bus,26,101,5,2,5,2,0,25,9,4,209,32,1,6,21,184,0,0,1,35,0,5,6,0,2,712,13,124,914,0,346,2,8,392,1125,4317
Omni Bus (Private Use),0,1742,0,1,1,5825,0,0,0,1,1,90,0,7,0,3100,11,0,0,22,0,3,9292,0,0,1189,0,1,3,1,116,0,14,32,12407,33859
Power Tiller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Power Tiller (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648
Private Service Vehicle,0,176,5,0,0,24,0,1,0,1,1,28,4,0,288,888,162,2,0,11,0,0,89,0,0,57,2,16,8,1,1017,0,0,6,1,2788
Private Service Vehicle (Individual Use),0,0,17,6,0,26,0,0,0,0,3,358,6,1,4,60,3760,1,0,31,2,1,27,0,0,36,3,0,2,0,9,0,10,1,0,4364
Puller Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Recovery Vehicle,0,16,0,2,0,0,0,0,31,0,9,21,38,0,0,0,6,0,0,5,2,0,1,1,0,3,0,0,8,0,38,0,0,2,2,185
Road Roller,1,29,0,0,0,9,0,0,0,0,3,0,5,0,0,4,15,0,0,7,1,0,81,0,0,1,0,0,13,0,4,1,0,11,0,185
School Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6
Semi-Trailer (Commercial),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Snorked Ladders,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Three Wheeler (Goods),9,8464,6,2057,3967,1183,200,30,3572,1,17394,133,1687,3597,1226,8669,5551,1,18,5234,22,13,3886,0,1,4475,280,3,3204,0,227,299,318,5364,2951,84042
Three Wheeler (Passenger),196,51439,177,8819,33150,3617,1851,13,11108,125,41160,153,15241,12226,653,33489,22291,0,23,59957,1374,1194,13105,328,878,14468,5209,236,12469,0,23983,2620,1178,37416,6881,417027
Three Wheeler (Personal),1,2,370,4,1,0,0,5,2,4,16,1,1,1,2,320,1038,0,4,118,3,2,0,0,0,1,0,2,2,0,302,0,0,24,3,2229
Tow Truck,0,1,2,0,0,1,0,0,0,0,1,0,5,0,0,4,5,0,0,58,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,83
Tower Wagon,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25
Tractor (Commercial),2,11713,34,4639,35913,654,0,2,0,2,1063,977,65,8772,4,712,2,0,1,399,19,0,8,5,1,11920,2,9,81,0,181,6,437,617,14554,92794
Tractor-Trolley(Commercial),0,0,1,0,0,1,0,0,0,0,2,0,0,691,0,2,0,0,0,5,0,0,117,0,0,106,0,0,2187,0,1,1,0,1,0,3115
Trailer (Agricultural),0,11166,4,15,29,6877,0,2,0,0,12290,0,1,0,0,19409,0,0,0,6424,0,0,3258,0,0,4,32,2,331,0,982,1,0,68,2,60897
Trailer (Commercial),0,11814,37,485,19563,251,0,7,0,15,1234,0,1,5095,0,403,0,0,0,1569,11,1,140,0,7,10317,2,14,8,0,190,8,22,490,740,52424
Trailer For Personal Use,0,1,1,0,0,1,0,2,0,0,0,0,1,0,2,29,0,0,0,2550,2,1,0,0,0,3,28,0,129,0,24,0,0,0,0,2774
Tree Trimming Vehicle,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4
Vehicle Fitted With Compressor,0,16,0,4,0,7,0,0,0,0,100,5,0,3,0,14,12,0,0,29,2,0,3,0,0,17,0,0,82,0,218,0,0,5,3,520
Vehicle Fitted With Generator,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,12,4,0,0,74,0,0,8,0,0,1,0,0,0,0,8,0,0,4,55,172
Vehicle Fitted With Rig,0,74,0,10,0,54,0,1,0,0,261,5,0,11,0,845,0,0,0,85,0,0,36,0,0,32,1,1,240,0,206,0,2,17,26,1907
e-Rickshaw with Cart (G),0,0,0,0,5,0,0,0,1,0,1,0,3,0,0,1,0,0,0,1,0,0,36,0,0,0,0,0,120,0,0,0,8,46,0,222
e-Rickshaw(P),6,0,0,0,921,8,0,0,21577,0,6,0,965,0,0,2,0,0,0,25,0,0,764,0,0,1,126,1,4505,0,3,0,1150,15191,1491,46742
Total,9484,1043293,18135,329997,870620,467901,47445,18237,681707,78520,1595893,123652,690868,447470,113994,1663785,946258,2282,846,2420195,23560,29411,1093730,14798,26166,647743,775204,66244,1317611,5429,1903740,39792,223661,2636230,950144,21324045
