Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Luxury Cab,0,220,1,0,0,0,0,0,86,0,0,0,7,0,1,2,3,0,0,8,0,0,0,6,0,3,0,0,12,112,0,0,0,2,2573,3036
M-Cycle/Scooter,4481,708281,8655,186189,520306,377301,27631,11221,364088,54651,1086174,60798,435921,265878,56025,1127632,631767,246,842,1697282,8771,20319,802325,9897,4528,392720,596412,41475,997984,491,1183626,22950,146255,1885956,602833,14341911
M-Cycle/Scooter-With Side Car,2,2,1,9,18,3,0,0,28,0,30,16,42,4,2,20866,1,0,0,63,0,0,0,0,1,297,3,1,5456,1,236,0,9,29,168,27288
Maxi Cab,29,1661,71,127,520,273,15,2,646,415,1842,712,91,959,3204,4589,148,154,0,111,346,170,1449,187,150,3875,2695,46,1333,336,6847,23,2147,3037,2450,40660
Mobile Canteen,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,12
Mobile Clinic,0,1,0,3,0,0,0,0,0,0,14,1,2,0,1,7,6,0,0,5,0,0,0,0,0,0,0,0,3,0,7,0,0,1,4,55
Mobile Workshop,0,0,0,1,0,2,0,0,10,0,4,1,2,0,0,6,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,4,4,40
Moped,1758,0,346,1257,2796,21950,54,18,5964,306,39880,706,2678,5298,1779,41847,5,1,0,14181,12,196,21357,181,33,43744,3070,4806,19981,1,210592,22,1549,66839,1906,515113
Motor Cab,241,2368,304,3118,7070,652,64,3,4581,858,2058,1255,2923,2030,512,14855,11266,441,4,13723,1357,163,2125,255,342,1016,2208,126,5826,790,5225,245,1138,6239,3441,98822
Motor Car,1523,51638,3855,44994,40160,28755,17957,3359,128008,16632,200316,32210,137687,35347,36463,184005,194532,997,20,308659,8156,6194,80556,2386,5566,33501,142009,6442,141932,2645,159539,3910,37143,204013,63737,2364846
Motor Cycle/Scooter-SideCar(T),0,3,0,1,4,0,0,0,0,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,0,0,0,103
Motor Cycle/Scooter-Used For Hire,31,4,0,0,6,1,0,0,0,259,36,0,0,0,0,16,10,47,0,0,0,0,12,0,0,31,4,0,435,0,0,0,25,0,6,923
Motorised Cycle (CC 25cc),0,3,0,1,0,3,0,0,0,0,8,1,0,1,1,54,0,0,0,43,0,3,0,0,0,2,1,0,34,119,26,1,0,14,0,315
Omni Bus,4,61,5,2,5,3,0,19,0,1,480,24,17,6,106,419,0,2,0,62,0,3,4,1,0,845,65,86,1180,0,170,0,17,369,1725,5681
Omni Bus (Private Use),0,1738,1,0,4,5889,0,0,0,0,1,136,1,17,1,3719,8,0,0,80,0,4,10801,0,0,1715,0,1,13,0,106,0,27,49,14557,38868
Power Tiller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,15
Power Tiller (Commercial),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831
Private Service Vehicle,4,113,8,0,0,32,0,0,0,0,2,35,1,0,214,520,165,1,0,20,0,0,101,0,0,62,5,1,7,0,853,0,0,6,2,2152
Private Service Vehicle (Individual Use),1,0,0,1,0,9,0,0,0,0,8,288,5,0,6,63,4419,0,0,88,1,0,15,0,0,52,3,0,3,0,9,0,0,3,0,4974
Recovery Vehicle,0,18,1,0,0,0,0,0,2,1,19,16,8,0,0,1,10,0,0,12,0,0,0,1,0,0,0,0,4,0,63,0,1,2,2,161
Road Roller,0,20,0,0,0,3,0,0,0,2,1,1,2,0,0,2,25,0,0,12,0,0,31,0,0,0,1,1,9,0,6,2,0,4,0,122
School Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Semi-Trailer (Commercial),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Three Wheeler (Goods),0,7036,0,2135,1548,1204,260,36,2545,13,19562,115,1224,2717,1564,8574,6346,0,10,5012,30,19,3606,1,4,3237,806,8,3221,0,138,93,172,4917,2553,78706
Three Wheeler (Passenger),136,47565,204,6257,30922,4423,1,17,8647,100,37019,139,14535,11858,952,28716,27385,0,34,71749,961,1116,11099,341,628,13974,4084,109,11681,0,20750,1943,1976,31437,1833,392591
Three Wheeler (Personal),0,1,283,17,0,0,0,5,7,3,19,0,2,1,6,360,2305,0,8,2667,1,6,3,0,0,0,2,3,2,0,327,0,0,44,3,6075
Tow Truck,0,0,0,4,0,3,0,0,0,0,5,1,0,0,0,6,3,0,4,68,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,100
Tower Wagon,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
Tractor (Commercial),1,7879,24,2500,38190,839,13,1,0,0,1052,1246,105,7886,29,766,3,0,3,166,43,0,7,5,2,10182,9,2,85,0,280,8,356,535,12121,84338
Tractor-Trolley(Commercial),0,0,0,0,0,0,0,0,0,0,5,1,0,571,0,2,0,0,0,4,0,0,464,0,0,99,1,0,3,0,0,0,0,2,0,1152
Trailer (Agricultural),0,7888,0,19,5,8923,0,5,0,0,8780,1,3,0,0,20133,0,0,0,12451,0,0,5672,0,1,4,7,2,143,0,942,0,2,69,0,65050
Trailer (Commercial),0,7121,16,334,10724,364,1,3,0,9,1202,2,1,5003,0,485,0,0,0,690,27,0,262,0,18,9154,0,5,30,0,452,1,502,293,589,37288
Trailer For Personal Use,0,3,3,0,0,3,0,0,0,2,0,0,4,0,17,23,0,1,1,3563,0,1,0,0,0,2,65,1,142,0,36,0,0,3,0,3870
Tree Trimming Vehicle,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7
Vehicle Fitted With Compressor,0,11,0,0,0,5,0,0,0,0,38,1,1,64,0,14,13,0,0,8,0,0,5,0,0,3,0,0,57,0,241,0,0,1,2,464
Vehicle Fitted With Generator,0,0,0,2,0,0,0,0,0,2,7,0,0,0,0,21,13,0,0,79,0,0,2,0,0,0,0,0,2,0,23,0,0,1,32,184
Vehicle Fitted With Rig,0,31,0,5,0,18,0,0,0,0,95,4,0,0,0,366,4,0,0,34,0,0,25,0,0,25,0,0,192,0,176,0,1,4,2,982
X-Ray Van,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
e-Rickshaw with Cart (G),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
e-Rickshaw(P),0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,94
Total,8454,879720,15059,261022,674775,490947,47268,15647,525582,75246,1504738,106815,656586,349352,109414,1549205,902902,2357,959,2258081,21909,29632,1048456,14507,20348,533795,813429,53681,1323772,4828,1649191,30694,200125,2364093,743877,19286466
