Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Tractor (Commercial),2,7290,14,2026,22196,755,8,0,466,0,1207,1407,98,6515,43,1003,1,1,2,157,48,0,5,11,1,8041,40,7,54,3,719,14,333,438,11438,64343
Tractor-Trolley(Commercial),0,0,0,0,0,1,0,0,0,0,37,0,0,442,0,0,0,0,0,1,0,0,871,0,0,73,0,0,1,0,0,0,0,2,0,1428
Trailer (Agricultural),0,7855,0,38,1186,5510,0,8,0,1,7536,1,3,21,3,17387,1,0,0,4276,0,0,5174,0,0,3,11,1,103,0,2646,0,2,122,0,51888
Trailer (Commercial),0,7267,6,372,8215,463,0,21,0,21,1704,1,63,4325,0,879,0,0,0,277,48,0,173,0,1,7474,0,9,0,0,637,0,375,268,1333,33932
Trailer For Personal Use,0,3,0,0,0,6,0,0,0,2,0,0,10,0,3,31,0,1,1,1231,0,3,0,0,0,0,61,0,19,0,33,0,2,1,0,1407
Tree Trimming Vehicle,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,13
Vehicle Fitted With Compressor,0,53,0,4,0,43,0,0,0,0,112,4,0,97,0,33,16,0,0,34,0,0,2,0,0,9,0,1,58,0,405,0,1,9,0,881
Vehicle Fitted With Generator,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,35,66,0,0,196,0,0,1,0,0,1,0,0,0,0,42,0,6,1,57,415
Vehicle Fitted With Rig,0,119,0,4,0,63,0,0,0,0,137,4,0,1,0,770,2,0,0,96,0,0,19,0,0,17,4,2,171,0,229,0,3,6,13,1660
X-Ray Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
e-Rickshaw with Cart (G),0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
e-Rickshaw(P),0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,43
Total,8441,762657,12461,216210,504682,364224,52068,15299,484542,75681,1431639,90305,626629,302507,102481,1373993,976200,2246,1110,2044973,26194,28856,909386,15643,24749,431274,837505,65881,1100656,9697,1890230,29884,186572,1910655,627007,17542537
