Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Construction Equipment Vehicle (Commercial),0,0,64,2,0,0,0,0,0,0,2,0,2,81,0,2,0,0,0,1,0,0,0,0,34,0,0,0,2,0,0,1,0,13,2,206
Crane Mounted Vehicle,0,10,4,91,0,188,0,4,47,7,691,22,233,3,0,281,111,0,0,483,1,8,193,0,69,47,138,0,184,0,46,2,15,228,181,3287
Dumper,0,3,172,1353,0,2,0,0,0,0,7,9,0,1,0,3,0,0,0,45,0,11,8,1,4,5,0,0,1821,0,1,0,31,98,92,3667
Earth Moving Equipment,4,0,0,0,0,101,0,0,0,22,127,217,309,0,1,1269,513,0,0,103,6,102,2,0,0,2,87,1,2423,10,1423,8,8,1481,189,8408
Educational Institution Bus,0,2131,0,0,0,520,93,0,0,3,21,323,619,1,91,804,1828,0,0,14,3,0,2276,0,0,266,22,86,522,0,3324,0,31,1688,23,14689
Excavator (Commercial),2,111,92,156,1,1,0,4,0,1,818,1,35,96,1,706,2,0,0,1,0,1,0,2,0,69,50,0,0,9,0,103,284,131,689,3366
Excavator (NT),0,0,50,211,0,721,0,4,0,1,416,75,103,1,0,147,86,0,1,1812,13,6,890,97,0,3,8,2,718,2,5,8,37,10,28,5455
Fire Fighting Vehicle,0,3,0,25,6,10,0,1,0,0,20,3,50,32,1,25,0,0,0,51,0,0,40,0,5,0,5,0,29,0,10,0,6,27,21,370
Fire Tenders,0,17,0,3,0,0,0,0,0,0,0,0,4,2,0,0,63,0,0,5,0,0,9,0,0,0,0,0,1,0,0,0,1,2,0,107
Fork Lift,0,13,0,7,0,0,0,32,0,5,352,0,11,0,0,6,1,0,0,167,0,0,3,0,10,6,1,4,27,0,1,0,0,2,16,664
Goods Carrier,218,20991,822,12723,20261,15874,726,968,12020,1551,47695,7638,28655,12263,5967,46621,17035,312,11,70770,1664,1264,21774,789,9535,18219,22466,439,41250,433,39349,1391,5496,48467,28172,563829
Harvester,0,106,0,0,0,283,0,0,0,0,15,0,442,0,0,14,0,0,0,87,0,0,198,0,0,13,2577,0,82,0,114,0,0,42,51,4024
Hearses,0,1,0,0,0,1,0,0,0,0,4,2,1,0,1,7,5,0,0,7,0,0,3,0,0,7,0,0,4,0,0,0,4,8,22,77
Library Van,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18
Luxury Cab,0,259,1,0,1,0,0,1,56,0,0,0,6,0,1,1,1,0,0,5,0,0,1,5,0,10,0,0,7,212,0,0,0,2,6464,7033
M-Cycle/Scooter,5033,677695,7089,211134,580069,355755,26653,10715,417589,54503,1063362,62436,455709,312412,59533,1117368,630209,302,927,1739590,8952,18861,766195,9692,4983,432457,606266,42708,987437,574,1179602,25895,161071,1955849,674318,14662943
M-Cycle/Scooter-With Side Car,0,0,1,16,35,2,0,0,64,0,39,18,58,5,0,9675,1,0,0,73,1,1,0,0,2,80,3,46,7120,0,270,1,19,33,269,17832
Maxi Cab,79,1453,57,136,336,193,8,9,960,146,1494,789,64,726,2975,4921,168,165,0,192,165,118,1148,154,101,3248,3541,59,1215,212,6942,37,2009,3061,2378,39259
Mobile Canteen,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
Mobile Clinic,0,2,5,3,0,0,0,1,0,0,8,0,2,0,0,6,4,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,6,3,59
Mobile Workshop,0,1,1,0,0,0,1,0,6,0,4,0,0,0,0,4,2,0,0,12,0,0,1,0,0,1,0,4,0,0,1,0,0,5,0,43
Moped,1076,0,275,1691,3710,22195,57,11,4711,129,44299,723,3130,7258,1958,60201,7,2,0,17711,9,103,19134,195,53,55021,3141,3958,18435,0,186101,25,1582,69588,2756,529245
Motor Cab,145,3069,156,3097,4707,639,93,15,8075,821,2868,1510,4615,2081,338,29994,10100,207,1,19566,1356,82,2435,153,206,1190,4329,164,6265,983,8060,225,1549,5628,3779,128501
Motor Car,1548,57040,3906,47553,40494,28692,17715,3526,155617,15998,222341,35540,142711,38748,41252,187861,193500,912,36,321440,7281,6293,86331,2050,5581,37354,138763,6722,148702,2956,162385,4013,39670,219464,63371,2487366
Motor Cycle/Scooter-SideCar(T),0,4,0,0,3,0,0,0,0,124,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,0,0,148
Motor Cycle/Scooter-Used For Hire,42,9,0,0,9,1,0,7,0,257,43,5,82,0,0,55,15,107,0,9,0,0,5,2,0,44,7,0,584,0,0,0,34,0,13,1330
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Motorised Cycle (CC 25cc),0,2,0,2,0,3,0,0,2,0,5,0,1,0,1,47,0,0,0,39,0,2,0,0,0,3,4,0,37,124,29,0,0,8,3,312
Omni Bus,22,92,6,0,2,1,0,20,0,1,321,22,11,4,50,260,0,0,4,43,0,2,1,0,0,756,16,64,864,0,165,4,16,349,1377,4473
Omni Bus (Private Use),1,1804,0,0,5,5747,0,0,0,3,0,120,1,13,1,3190,10,0,0,43,0,4,9975,0,0,1586,2,2,9,0,94,0,15,49,13309,35983
Power Tiller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12
Power Tiller (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,914
Private Service Vehicle,0,91,3,0,0,30,0,0,0,0,0,54,5,0,331,762,151,0,0,14,0,0,70,1,0,60,5,14,2,0,841,0,0,8,0,2442
Private Service Vehicle (Individual Use),0,0,0,9,1,17,1,1,3,1,8,347,6,0,12,68,4133,0,0,28,1,0,24,0,0,34,1,0,1,0,9,0,0,0,1,4706
Puller Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
Recovery Vehicle,0,17,0,3,0,0,0,0,10,0,13,10,29,0,0,0,6,0,0,8,1,0,1,0,0,2,2,0,3,0,32,1,0,2,7,147
Road Roller,1,24,0,1,0,7,0,0,0,0,2,0,1,0,0,7,6,0,0,7,0,3,28,0,0,3,0,1,7,0,4,0,0,10,1,113
School Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Snorked Ladders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Three Wheeler (Goods),0,7177,2,2184,2724,1316,193,44,2557,1,17688,97,1617,2851,1735,7957,5025,0,7,5721,16,8,3693,0,9,3910,464,3,3159,0,170,126,239,4392,2879,77964
Three Wheeler (Passenger),251,47880,143,7821,29992,3112,907,24,17539,128,39039,153,17466,11356,929,30599,22789,0,32,35484,995,1310,10958,246,1165,14427,3952,148,11685,0,16873,3272,1092,33320,5079,370166
Three Wheeler (Personal),4,1,220,5,0,0,0,4,13,0,17,3,0,0,0,308,1375,0,9,2004,1,2,2,0,0,3,0,1,5,0,246,0,0,30,6,4259
Tow Truck,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,7,2,0,0,69,0,0,0,0,0,2,2,0,7,0,0,0,0,4,0,99
Tower Wagon,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Tractor (Commercial),1,7846,27,3321,30861,721,1,1,0,3,720,1095,111,8730,4,667,1,2,0,159,23,0,9,10,6,10888,1,9,90,0,176,5,330,565,11228,77611
Tractor-Trolley(Commercial),0,0,1,0,0,1,0,0,0,0,0,0,0,585,0,0,0,0,0,6,0,0,158,0,0,95,1,0,2,0,1,0,0,1,0,851
Trailer (Agricultural),0,6954,0,12,14,8140,0,4,0,0,13133,2,3,0,0,17470,0,0,0,5600,0,0,3479,0,1,5,14,1,154,0,759,0,1,101,0,55847
Trailer (Commercial),0,7554,16,448,16384,299,0,8,0,15,987,0,0,5339,0,411,0,0,0,909,24,0,206,0,1,9553,0,7,12,0,205,3,139,671,749,43940
Trailer For Personal Use,0,2,2,0,0,0,0,0,0,2,0,0,3,0,5,36,0,0,1,2505,0,0,0,0,0,1,41,0,162,0,7,0,0,0,0,2767
Tree Trimming Vehicle,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,13
Vehicle Fitted With Compressor,0,9,0,0,0,5,0,0,0,0,78,3,0,34,0,15,4,0,0,12,0,0,3,0,0,6,0,0,76,0,189,0,0,9,1,444
Vehicle Fitted With Generator,0,1,0,1,0,0,0,0,0,0,8,0,1,0,0,14,5,0,0,71,0,0,3,0,0,1,0,0,2,0,23,0,0,5,44,179
Vehicle Fitted With Rig,0,44,0,5,0,32,0,0,0,0,141,4,3,0,0,463,0,0,0,38,0,0,15,0,0,14,0,1,179,0,158,0,0,16,7,1120
e-Rickshaw with Cart (G),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,2,0,12
e-Rickshaw(P),0,0,0,0,0,0,0,0,3488,0,2,0,36,0,0,1,0,0,0,19,0,0,40,0,0,3,1,0,640,0,1,0,0,922,9,5162
Total,8463,857293,13848,293956,732097,463564,46754,15566,623900,74083,1492664,112535,684339,403490,118086,1563735,894124,2052,1033,2275190,20670,28385,982785,13445,22974,591470,816249,54755,1311577,5591,1626113,35429,217306,2436132,822604,19662257
