Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Educational Institution Bus,0,2484,2,0,0,148,70,0,0,96,49,229,318,0,113,678,1761,0,0,7,1,0,1537,0,0,302,29,66,939,0,3840,0,18,538,11,13236
Excavator (Commercial),0,2,101,188,0,0,0,37,0,11,950,2,22,86,3,1247,1,0,0,6,3,3,0,2,1,56,82,0,0,6,0,66,24,94,483,3476
Excavator (NT),0,0,16,205,0,561,0,8,0,0,834,75,797,0,3,177,609,0,0,3073,8,7,1273,118,0,4,9,12,231,1,36,3,67,20,15,8162
Fire Fighting Vehicle,1,2,0,1,1,2,0,0,2,0,30,7,9,1,0,33,0,0,0,32,0,0,18,0,0,0,12,0,16,0,7,0,10,28,6,218
Fire Tenders,0,8,0,2,0,0,0,0,0,0,7,0,1,0,0,0,8,0,0,5,0,0,7,0,0,2,1,0,0,0,1,0,0,0,0,42
Fork Lift,0,41,0,0,0,0,0,52,0,4,338,2,23,0,0,16,5,0,0,207,0,0,1,0,4,17,0,0,20,0,3,0,0,6,67,806
Goods Carrier,162,24835,386,11619,13661,13655,900,1129,11079,5038,54002,8265,37038,11794,6609,47156,29725,391,58,82422,3764,927,27677,1196,11403,21256,27922,1076,34307,529,69979,1711,6556,48031,36666,652924
Harvester,0,362,0,0,2,138,0,0,0,0,10,0,488,0,0,156,0,0,0,83,0,0,77,0,0,2,2653,0,23,0,722,0,0,24,5,4745
Hearses,1,1,0,36,0,1,0,0,0,2,7,7,6,0,1,9,1,0,0,3,0,0,0,0,0,2,36,1,1,0,3,0,0,14,31,163
Library Van,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16
Luxury Cab,0,533,0,0,0,0,0,0,333,0,0,0,0,0,1,1,0,0,0,6,0,0,1,7,0,9,0,0,2,39,0,0,0,0,837,1769
M-Cycle/Scooter,4318,542037,5530,138728,282935,249483,26265,9219,298208,48225,997780,45411,398605,203261,44777,881665,485410,88,878,1453804,7649,11000,676944,9193,3597,298507,372817,59258,708577,555,1166879,19786,119257,1316182,448642,11335470
M-Cycle/Scooter-With Side Car,0,3,0,9,15,5,0,1,92,3,32,10,57,2,7,9276,0,0,0,50,0,1,0,0,0,6,1673,30,4256,0,110,3,20,20,660,16341
Maxi Cab,11,2747,34,401,152,162,59,5,628,127,3501,694,75,1223,3827,4922,103,121,1,456,464,146,1527,270,99,3443,2761,8,1398,281,10612,56,2237,1078,1371,45000
Mobile Canteen,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,3,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,18
Mobile Clinic,0,5,9,1,0,0,0,0,0,0,31,0,3,1,3,6,4,0,0,6,0,0,0,0,0,0,2,0,1,0,11,0,0,114,4,201
Mobile Workshop,0,0,0,5,2,0,0,1,0,0,1,0,1,0,0,6,1,1,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,7,3,38
Modular Hydraulic Trailer,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Moped,598,0,28,2912,1006,17911,17,122,6347,698,19242,133,2373,4080,587,39051,4,0,0,11091,12,35,15947,82,19,27206,4155,12713,15491,1,245806,0,1598,38618,2936,470819
Motor Cab,162,2930,160,2580,6760,1299,68,1,10090,941,1938,801,4669,1654,565,14258,5069,214,4,13724,890,266,1894,420,147,1117,620,11,8375,831,9458,458,1199,10718,1274,105565
Motor Car,1527,49210,4022,41510,31040,24017,22414,3484,145550,17302,215023,29491,136586,32632,34103,171579,172676,803,35,323789,9683,8679,68320,2661,5528,27687,132284,8991,101735,3817,164052,3838,34967,168927,67192,2265154
Motor Caravan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
Motor Cycle/Scooter-SideCar(T),0,1,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,103
Motor Cycle/Scooter-Used For Hire,9,4,0,0,2,0,0,1,0,1688,31,0,0,0,0,8,11,0,0,0,0,0,0,0,0,26,1,0,194,0,1,0,0,0,1,1977
Motorised Cycle (CC 25cc),0,1,0,1,2,0,0,0,0,0,16,0,3,0,1,30,0,0,0,78,0,1,0,0,0,1,39,1,18,46,16,0,0,13,0,267
Omni Bus,5,71,17,2,4,15,0,29,0,1,220,35,21,6,74,983,0,2,1,51,0,2,2,0,0,1992,9,135,1759,0,373,0,38,388,1307,7542
Omni Bus (Private Use),0,1648,0,0,3,3347,0,1,3,2,0,91,1,17,0,3854,20,0,0,58,1,3,10490,0,0,4143,0,15,10,1,289,0,23,39,10980,35039
Power Tiller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,11,0,0,0,0,0,8,0,0,0,1,0,1,0,10,0,0,0,0,40
Power Tiller (Commercial),0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417
Private Service Vehicle,0,140,5,0,0,41,0,5,0,0,3,25,1,0,170,652,148,0,0,14,0,0,103,0,0,149,8,4,7,0,1010,0,0,8,0,2493
Private Service Vehicle (Individual Use),0,0,0,2,3,4,0,0,1,0,8,237,2,0,9,50,4964,0,0,81,1,0,6,0,0,56,3,0,3,0,5,0,0,2,0,5437
Puller Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Recovery Vehicle,0,40,0,1,0,0,0,0,31,2,32,18,8,0,0,0,13,0,0,4,0,0,0,4,1,0,1,0,10,0,123,0,0,2,4,294
Road Roller,0,65,0,0,0,2,0,0,0,0,3,0,4,0,0,5,79,0,0,8,3,0,25,1,0,0,2,0,6,0,13,3,1,6,1,227
School Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Semi-Trailer (Commercial),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
Snorked Ladders,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Three Wheeler (Goods),6,6124,3,1801,595,553,337,38,6625,32,16068,198,1195,2175,1367,8556,9979,0,34,3680,157,43,3020,2,19,1896,842,10,2776,0,740,214,257,6115,1637,77094
Three Wheeler (Passenger),322,42799,133,5001,16172,2956,223,30,305,87,49719,132,13886,9514,904,31617,55631,1,47,13812,737,1910,10853,331,729,11408,4793,173,10801,0,15621,2060,1973,38261,6963,349904
Three Wheeler (Personal),2,6,3,14,18,0,0,10,6,6,24,0,4,4,5,609,9940,0,4,5241,3,2,2,0,0,2,38,1,7,0,333,0,1,25,0,16310
Tow Truck,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,12,9,0,0,170,0,0,0,1,0,2,8,0,1,0,3,0,1,5,9,227
Tower Wagon,0,0,0,0,1,2,0,0,0,0,4,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
Tractor (Commercial),1,8609,15,1662,14952,556,0,0,287,2,1394,1734,42,5444,37,1187,2,7,8,208,45,0,2,8,3,9216,96,20,90,0,719,22,363,463,12394,59588
Tractor-Trolley(Commercial),0,0,0,0,1,1,0,0,0,0,39,0,0,383,0,3,0,0,0,5,0,0,266,0,0,59,0,0,4,0,0,0,0,0,0,761
Trailer (Agricultural),0,8725,1,74,1013,5308,0,9,0,3,5002,0,3,7,23,18277,0,0,0,8065,0,0,5287,0,1,6,41,4,65,0,2929,0,2,168,2,55015
Trailer (Commercial),0,8658,4,399,7717,335,0,18,0,10,2085,1,58,3763,0,802,0,0,0,470,22,0,281,0,3,8779,11,23,2,0,642,0,281,331,1640,36335
Trailer For Personal Use,0,5,4,1,0,4,0,0,0,2,1,0,12,0,3,24,0,0,0,933,0,1,0,0,0,0,82,1,8,0,34,0,0,3,0,1118
Tree Trimming Vehicle,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,13
Vehicle Fitted With Compressor,0,12,0,6,0,6,0,0,0,0,108,6,0,96,0,40,15,0,0,24,0,0,6,0,0,5,0,1,82,0,505,0,0,1,2,915
Vehicle Fitted With Generator,0,3,0,30,0,0,0,0,0,1,7,0,0,0,0,30,57,0,0,175,0,0,2,0,0,1,0,0,3,0,56,0,15,8,47,435
Vehicle Fitted With Rig,0,70,0,7,2,42,0,0,0,2,142,6,0,1,0,578,7,0,0,86,0,0,57,0,0,21,6,0,269,0,295,1,8,12,17,1629
X-Ray Van,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
e-Rickshaw with Cart (G),0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
e-Rickshaw(P),0,0,1,0,1,0,0,0,0,0,28,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,42
Total,7172,721945,10840,209870,381148,332714,50572,14389,480781,75025,1400530,88542,629140,277245,95283,1278803,781836,1683,1071,1961079,23745,23263,880452,14400,22864,418846,574060,82767,962544,6172,1728652,28311,173013,1720751,599068,16058576
